date,site ,experiment,kelp_pile_num,kelp_L_m,kelp_W_m,ellipse_A_m2,invasive,sarg_L_1,sarg_W_1,sarg1_A,sarg_L_2,sarg_W_2,sarg2_A,sarg_L_3,sarg_W_3,sarg3_A,sarg_L_4,sarg_W_4,sarg4_A,sarg_total,ratio,percent
,W_Marker_Poles,invasive_wrack,c,2.45,5,9.621127502,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,d,1,1,0.785398163,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,e,1.2,0.7,0.659734457,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,f,2.47,0.74,1.435550763,yes,0.11,0.01,0.000863938,0.12,0.02,0,0,0,0,0,0,0,0.000863938,0.000601816,0.060181639
,W_Marker_Poles,invasive_wrack,g,2.06,1.01,1.634099419,yes,0.13,0.7,0.071471233,0.1,0.02,0,0.17,0.12,0.016022123,0.07,0.04,0.002199115,0.08969247,0.054888013,5.488801307
,W_Marker_Poles,invasive_wrack,1,2.02,1.23,1.951400277,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,2,2.14,1.78,2.991738684,yes,0.15,0.04,0.004712389,0.09,0.01,0,0,0,0,0,0,0,0.004712389,0.001575134,0.157513389
,W_Marker_Poles,invasive_wrack,3,3.46,0.59,1.603311811,no,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,4,1.91,0.76,1.140083974,yes,0.13,0.06,0.006126106,0,0,0,0,0,0,0,0,0,0.006126106,0.005373381,0.53733811
,W_Marker_Poles,invasive_wrack,5,1.68,0.87,1.147937956,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,6,1.58,0.74,0.918287533,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,7,1.98,1.27,1.974962222,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,8,1.09,0.96,0.821840638,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,9,2.74,0.74,1.592473316,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,10,1.38,0.62,0.671986669,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,11,2.53,0.68,1.351199,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,12,2.57,0.41,0.827574045,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W_Marker_Poles,invasive_wrack,13,1.49,0.86,1.006409207,yes,0.64,0.13,0.065345127,0,0,0,0,0,0,0,0,0,0.065345127,0.064928984,6.492898392
